Comment,Emotion
i feel our hearts are treading dangerous territory,Anger
i feel frightened by it all,Fear
i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,Anger
i feel shafted or greedy,Anger
i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,Fear
i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,Anger
i feel reluctant to just leave her alone like that without helping her enough to repay her goodness to me,Fear
i am ashamed when i feel like that the moment i see terrified crying children and dead ones,Fear
i wake up in the morning and have my voice and my throat feels ok but by the afternoon its all scratchy again and i sound like marge simpson until the night when its so bad and my throat is so sore i just have to whisper,Joy
ive always been very nervous to do something like that as i feel like i am not really that talented to enter something into an official contest,Joy
i feel a bit pissed off because we went first,Anger
i feel satisfied knowing the dirt and hair is no longer in the car and house,Joy
i really like how the special edition really does feel special with songs on it,Joy
i would accept your gift without feeling mad,Anger
i feel hesitant to do it since i don t have any experience with programming and all,Fear
i was feeling particularly bitchy and i dont think i adequately expressed my appreciation for that,Anger
i do feel confused,Fear
im with you when your professor looks at you like a spitball when your friend is dying when you cry into your pillow at night when you feel the dangerous tickles of jealousy luring you down into its lair,Anger
i didn t feel rushed to finish millions of things and i was able to focus on each task separately,Anger
i feel so tortured,Anger
i dunno how it feels to be completely happy the real world has taught me about struggle but what i m going thru is nothing close to struggle,Joy
i feel like she has taken on the role of a grandmother to me since my beloved grandma is no longer with me,Joy
i fear that other people ask me about my feelings i am most reluctant to talk about things,Fear
i would have smiled except i was starting to feel like any more uptight comments and my jaw would fall right out of my head,Fear
i feel so comfortable around him,Joy
i feel completely unsure of any boundaries or normalcy,Fear
i think of or feel gratitude i think of my kind and gracious heavenly father,Joy
im feeling really really left out and somewhat dissatisfied with everything,Anger
i simply said how sorry i am and just got out from her car and got into my house feeling restless,Fear
i am feeling weird and feel wanna know,Fear
i had an incredible feeling of frantic despair,Fear
i feel reluctant to sell but hey,Fear
i take a long sip and feel the cold sensation of the iced capp,Anger
i wasn t feeling pressured even if this was the longest race and the one i expected the most from,Fear
i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself,Anger
i remember feeling the most terrified i had ever felt in my entire life and that its still affecting me now but ive never thought it accounted to trauma,Fear
i had for me to confess my feelings for her but still i couldnt bring myself to her for i was scared of losing her once more,Fear
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,Anger
i pray that the eyes that read this the minds that comprehend this and the hearts that feel this will not be offended,Anger
im not afraid of going on my own but i feel like a lot of people were in groups and a part of me feels like it would be cool to have a small group to hang out with,Joy
the possibility of having failed the examination,Fear
i feel so thankful to be in a part of the country where i can train outdoors this late in the year and not have to bundle up or wear several layers,Joy
i am feeling rather grouchy too this morning since i didnt sleep last night on purpose,Anger
i feel like the earthquake has also shaken the foundations of my life and work,Fear
i might be able to recreate the feeling when i get back into the cold fog that awaits me tomorrow night,Anger
i woke up feeling positive i was totally in the mood for doing this and this evening i feel the same i had a banana shake for breakfast a chocolate shake for dinner and a sunday roast for tea,Joy
i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings,Fear
i feel so bitchy and mean and terrible,Anger
i feel envious that they can keep their posts regular and interesting and wish that i could feel this way to,Anger
i feel like him try to stay as faithful as possible to what he perceives as the real events that happened in that mountain,Joy
i feel assaulted the new kid whined,Fear
ive had a long road of that initially feeling like i was being rude for turning down food that was made brought for me and sometimes eating stuff because it was gluten free and looked delicious even if it maybe wasnt what i felt good about eating some really mediocre wedding cake for example,Anger
i wanted to make sure i didnt feel rushed getting to century college on friday afternoon,Anger
id kick myself into gear but i just feel irritable with no motivation what so ever,Anger
i feel so much more productive at college and so to keep that productivity in full gear ill have to chalk up some ideas for art projects this summer train an army of attack pigeons and take over a tiny and uninhabited island,Joy
i have a feeling that your father already convinced him of that,Joy
i feel im not bothered by that,Anger
i p i could sit here and beat myself up over it all but im feeling far to rebellious for that today basically im feeling angry at the world and at myself all at the same time,Anger
im totally feeling bitchy and resentful about it,Anger
i drove to class i was feeling a little apprehensive but still no sweat,Fear
i feel so wronged but what can i do,Anger
i feel so weird that it feels like i wanna curse everything and bang my head onto the wall so that my world will be back to its focus,Fear
i feel suspicious of wrinkle prevention beauty products for some reason,Fear
i feel you see frantic and thus i am afraid,Fear
i am feeling so grumpy today,Anger
i feel that i have gotten to know the students pretty well and i talk to the parents if they drop their students off for the day,Joy
i cant help but feel suspicious of everything,Fear
i say we because it makes all the difference as a parent when you have an open and easy to talk to teacher who you really feel is the perfect fit for your child,Joy
i feel a little bit frightened of islam,Fear
im with her i feel terrific,Joy
i feel like this insecurity is a good thing when i first started writing i pictured it all,Joy
i even had a deep feeling for alaska and the cold and snowy and yet big open land with the pine trees and mountains but im destined to live in southern california,Anger
i didn t feel like she was shy so much as taking it all in as her mother has described her,Fear
i feel like any time anyone gets into the ring with him they are so intimidated by his arms and legs they dont even really try,Fear
im feeling cranky cantankerous and resentful like a house slave basically almost all the mothers i know rely heavily on either alcohol marijuana or separation divorce to get some space and sanity for themselves away from their maternal responsibilities,Anger
i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,Anger
im not convinced that it all makes since because the talking never feels sincere in its execution and maybe the themes in life seem to large to ever fathom but what s the point when it already feels like an emotionless pit of self craving attention,Joy
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,Fear
i think that they pop up so automatically because seeing those pictures or people makes me feel insecure about myself,Fear
i shut the door but i didn t feel triumphant,Joy
i could even feel his cold breath on my neck whispered hertha as she ran her fingers across the side of neck,Anger
i feel like life gave me a plenty of changes to shine and i pissed all over each and every one of them,Anger
i was feeling grumpy not women problems grumpy but five year old i want to get my way kind of grumpy you don t think there s a difference,Anger
i feel like im back in my element and very pleased to be surrounded by adorable tiny garments,Joy
i know you feel tortured reading this,Anger
i have a feeling hell be a casual favorite if blue or red are heavy colors at your casual tables otherwise i could see it in tournament decks while red is popular and possibly when if blue steps in its place one zendikar block rotates out,Joy
i think this is a valid complaint for those who arent willing to deal with it this aspect i imagine will be rather subjective but it makes sure that the cover based moments still feel dangerous despite being in cover,Anger
i feel like it must be a popular choice to have alterations done elsewhere,Joy
i feel bothered,Anger
i have noticed that if i go with out i start to feel irritated at him or easily annoyed by the things he does i feel this tiny ache inside of me almost unnoticeable the first few days as if a tiny hair had burrowed its way into my foot,Anger
i said without emotion while feeling a freaked out fearful anxiety welling up in my chest,Fear
i understand that any of my extremely positive attributes and there are some are overshadowed by my weakness and subconsciously some people are wired up to feel superior to others and thereby treat them differently,Joy
i find it very hard to feel relaxed for more than hours,Joy
i am just feeling grumpy and sore,Anger
i just make assumptions based on what i see think feel i ve wondered this before with strange things,Fear
i feel your motivation will be satisfied when you read this write up also who understands,Joy
i walk in the door to my house i feel happy,Joy
i feel more terrified than the customers will be in my maze,Fear
i found these emails from scott dale and just reading them frusterated me so much that i feel the need to post them and show the world what a neurotic freak he was is,Fear
i have been neglecting the feeling of people around me i was stubborn,Anger
i have been sneakily listen to x mas music since the beginning of october but now i feel as if it is a little more socially acceptable to prance around while eartha kitt s version of santa baby blares from my ipod,Joy
i didn t feel as terrified or as nervous as i normally would in that type of situation,Fear
i typically respond when i feel offended,Anger
i am wearing and feeling confident about myself,Joy
i feel like i am as fearful now as i was when i first threw my leg over the top tube after my surgery,Fear
i feel unprotected if i do though,Fear
im feeling artistic today,Joy
i confess to feeling a bit nervous now though there are some very talented people in the group,Fear
i managed to eat more than i usually can on race morning mostly because jon was there and i didnt feel quite as nervous,Fear
i had never read the posts i never would have spent the emotional and mental energy to argue with them in my head or feel irritated by them,Anger
i feel pressured at times to succumb to fear and insecurities but thankfully i am still able to hold it on my own,Fear
i feel my strengths are that i m very determined motivated in the workout room,Joy
im feeling doubtful about my writing dreams to know shes behind me,Fear
i feel so enraged that i want to punch him but i don t because he s only years old,Anger
i get into what it actually does i feel like everyone should buy it just because it smells amazing,Joy
i think the sooner we do the better well all feel greg im already in a distressed mood mom,Fear
im so excited but feeling kind of shy about it smile,Fear
i wear it i feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed and paranoid,Fear
i feel like im back to the arms of a beloved last seen a long time ago,Joy
i feel satisfied and happy with my choices today,Joy
i walked away feeling inspired and excited about realistic things i could do to increase my blog s chances for being found,Joy
i feeling confused with my life and want to know why my life,Fear
i looked around and once again was disappointed that so little had shown up this evening but apparently this was my day to feel selfish,Anger
i was feeling and i said impatient,Anger
i feel very reluctant to blog during my free period even when my hp is plugged to my laptop for charging making it easy to upload photos online,Fear
i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed,Fear
i got a stitch in my side during the first mile couldnt feel my feet it was so cold etc etc,Anger
i feel uncomfortable when i need to sit through a bad presentations,Fear
i feel there are other options that not as violent probably more costly yet equally futile so whats the problem with keeping our men and women out of harms way,Anger
ive collected as i feel its vital to create something precious from those items as a tribute to the earth and its power generosity,Joy
i feel as though i fucked up so majorly this summer that im cast off into an alternate universe that i went the wrong way on a timeline and im stuck in a world that the same as the one i knew in all but one way,Anger
i friends helping them to dress up and practise their thai introduction session while i sat there feeling helpless,Fear
i feel helpless because i cannot stop it,Fear
im feeling disgusted already but seriously though i dont really like to have my pictures taken cause ive always referred to myself as ugly,Anger
i do feel very angered though,Anger
i am feeling very virtuous today,Joy
i just feel so good inside when i see people walking away with their own handmade pieces of,Joy
i went to see my pcm on post for a follow up appointment and i left feeling hopeful and optimistic,Joy
i wish that the girl he asked to prom had accepted his invitation that way i couldve been heartbroken and done with my feeling for him but now im just so indecisive,Fear
im still feeling all wimpy it may be another skip around,Fear
i didnt feel safe in my room because the argument was going on in my room and things were getting rough,Joy
im not feeling pissed off about picking up those toys,Anger
im feeling so goddamn pissed and just,Anger
i hopped on the scale this morning feeling none too optimistic,Joy
i appreciate the award i feel there are so many wonderful blogs out there that we are all winners,Joy
i want to not feel shy with them i want to have fun with them,Fear
i should have left this movie feeling frightened or at the very least convinced that this number held some kind of mystical power or was the key to some government conspiracy but no,Fear
i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path,Anger
i am feeling extremely pleased with myself and i decide to give the guy another rupees,Joy
i feel tortured every moment and theres nowhere i can go to get away from it or to get back to what i was used to,Anger
im feeling brave this would be nice with black tips,Joy
i know who all think this way so i ve always feel skeptical about painting my nails red since i also have light skin so the red is really going to stand out is there a cute way for a year old to wear red nails without looking like she s trying too hard or looking like a hooker,Fear
in ward a was an epileptic patient who was burnt the whole body and was stinking very much such that the whole ward was affected few people could come near him,Anger
i have grown accustomed to the creative freedom of living by myself i can dance around my house and write songs and play guitar without feeling inhibited by the eyes and ears of others,Fear
i is an extremely positive feeling a divine energy who alone can take our quaking boat to the shore,Joy
i feel in the long run this hurts paulie as you could visibly see how distraught he was with the result and the perception of his performance,Fear
i also wouldnt mind a canon d mark iii if anyone is feeling generous,Joy
i wonder how genentech feel about a hostile takeover by its global partner,Anger
i feel that when i run i that is me sarah the mind am supporting this body,Joy
i feel truly impatient that this is taking so long,Anger
i feel really greedy wanting all this stuff but my mom asked me to make a list so,Anger
i feel popular but they dont want to be taught and they wont get married before the get baptized so they cant obviously,Joy
i dont hate you i just honestly feel so bitter towards you atm,Anger
i don t particularly have too much to say on it as it works well but doesn t particularly feel like it s something very clever or new,Joy
i sometimes feel hated but i am not it is all in my head,Anger
i was feeling pretty anxious and overwhelmed as a friend rightly noted probably because i was on a boat with my mom grandmother and great aunt and no where to flee except the damn cold baltic sea,Fear
i feel like i need cute pictures to share,Joy
i wake up feeling triumphant,Joy
i find it hard to feel jolly when throngs of people around me are so lost in the fervor of getting stuff that they cant see their heart for the green in their wallet encouraged by the constant barrage and pressure from every angle to shop here and buy more,Joy
i am left feeling very confused and blah,Fear
i got a feeling by the look in her eyes that she was sincere,Joy
i can think about is how lonely i feel im all grouchy and agitated and esily airritated,Anger
ive decided to intentionally make it easier on myself even though it makes me feel wimpy admitting that is the reason but this girl does have to work a day job,Fear
im watching a movie called sharknado i feel like my intelligence is being insulted,Anger
i am feeling apprehensive about this move and worried i have blown all my money that was meant to pay my rego,Fear
i still feel like i get walked all over but well i m trying,Joy
i told her that we cannot continue this way and when she is starting to feel frustrated she has to let me know in a calm way,Anger
i felt like the boys were disadvantaged missing out on all the exciting entertainments at home for children but now i feel like they have had a precious opportunity to get close and familiar with nature,Joy
i was capable of doing the same as of late ive been feeling pretty bitter and depressed and not a lot of gratitude in general,Anger
i can feel their joy and excitement for the opportunity to receive these vital ordinances,Joy
i worry about all of the time ive been spending on the computer and about how i feel so distracted by the party,Anger
i feel like i cant be brave,Joy
i wish i could call off the wedding just so i can feel carefree again,Joy
i didnt feel scared at all,Fear
i feel really contented just listening to the song,Joy
i dont know who i like i feel so bitchy and flirty,Anger
ive had this urgent feeling to write to you and tell you how the files make me feel but have felt hesitant because of fear as to where it will lead me,Fear
i started to develop feelings for you they scared me and i freaked out but you promised me that i was safe,Fear
i guess avoiding the boundaries conversation with him has me feeling a little unsure about my confidence and strength,Fear
im so damn tired and i feel a little grouchy,Anger
i was feeling quite something im not sure,Joy
i feel rude feel free to grab the seat next to me,Anger
im contemplating and feeling skeptical,Fear
i feel irritated useless and hopeless,Anger
i don t feel bothered about it getting credit equals getting debt and i have no interest in doing that again,Anger
i hurt your feelings or angered you with my last rant im sorry,Anger
i was feeling angry at myself for feeling self conscious about my shorts or for wishing that i wasnt alone,Anger
i feel petty things but not to the extent that humans seem to feel them wars have been started over stupid little things and try as i might i cannot understand how things such as loving two people or feeling jealous can lead to murder and unhappiness,Anger
i was feeling pretty cranky this morning and stopping in here really made me feel a lot better,Anger
i was just yesterday feeling uncomfortable with highschool sigh,Fear
i feel better now on the menu tonight,Joy
i feel so hesitant to say anything positive trying to hold my breath so to speak because none of this really matters until i know that shaun has passed the dlpt,Fear
i feel stressed out i would watch movies alone or just walk on the streets alone,Anger
i slough off the carapace of crud that has enveloped me for the past thirty odd hours i feel invigorated and finally ready to face the day,Joy
i discovered that it gave me a great feeling of satisfaction to produce a blog post a delicious dish a few photos a written recipe that tangible job completed feeling that s rare in my life as a stay at home mom,Joy
i feel a lot of pressure but i am determined to finish them so that i can visit my sister in may with a clear conscience,Joy
i feel myself getting agitated over something insignificant or feeling bored i m going to remember this quote,Anger
i feel bitchy i guess,Anger
i much regret that i allowed johann to accompany me from khartoum i feel convinced he can never rally from his present descara,Joy
i feel have been convinced by many factors in our culture of a kind of cooking mystique,Joy
im feeling very angry kind of sad tired and bored today,Anger
im feeling a much more festive with the tree in,Joy
i feel like as a creative professional you need to have that unpressed creative outlet to get re inspired,Joy
i feel very distressed because i m supportive of this campaign and with the senator jackson told cnn,Fear
i feel like i am being obnoxious by posting every three seconds,Anger
a girl entered in the division where i work and greeted everybody but not me,Anger
i started to feel apprehensive about it,Fear
i should not feel afraid we can stop shoulding all over ourselves,Fear
im feeling bitter towards them god,Anger
im being a teenager people and if you feel the need to make sarcastic bitchy comments you can kindly fuck off,Anger
i hate seeing those red windows even more as what i feel inside resonates with the cold uncaring world i know exists behind them making me even more aware of this pain inside of me,Anger
i can understand feeling uncertain about the abc link,Fear
i came to china feeling a little frightened of everything around me,Fear
i tired of hearing of these unique communications special feelings and how sincere you are,Joy
i get the feeling that nellie is satisfied that the phone rang happy that leslie is out of the room now,Joy
i do feel weird why seldom people eat at there,Fear
i am not feeling fearful,Fear
i slow a bit to stay with him partly because i am feeling like if i start to win he will just give up and partly because i am afraid that if i push it he will kill himself trying to stay with me,Fear
i feel bitchy today its as if today i realized that i couldnt count on any of my friends anymore,Anger
i feel that the very foundations of my faith have been shaken to the core,Fear
i did feel that the ending was a bit rushed and i do wonder if i might have missed certain signs but its a small thing when the story happens to be addictive and you dont notice the time passing by,Anger
i did not feel like i was on the edge and it got to a point where i wasn t bothered about who wins and to hell with it whether this fight will even end,Anger
i feel crazily indecisive impulsive just in a,Fear
i feel overwhelmed when i think of a country suffering,Fear
i feel so heartless sometimes because i do not have the ability to mourn for the lost of someone relating to my past grandparents,Anger
i feel really free i feel that i can grow wings amp fly,Joy
i couldnt help feel infuriated when i had left the building,Anger
i just feel kind of heartless now,Anger
i feel stubborn and strong and ready to fight this disease,Anger
i was also feeling really pleased that i decided well cajoled bullied and ordered to go out running this evening,Joy
im not sure that feeling slightly wronged by the police the sheriff or the tsa is always a bad thing,Anger
i am feeling especially lively,Joy
i didn t need to mention our difference but i was feeling very vulnerable because of the differences and was having a bit of fear that in someway i am doing something wrong,Fear
im already feeling less agitated,Anger
i want to feel energetic again and when i do just that bit of exercise every day be it minutes i feel more awake energized and more focused,Joy
i feel like a greedy person for liking two people,Anger
i do feel offended and i think justly,Anger
im thinking that feeling extremely cold yesterday was more down to me brewing something than the actual weather,Anger
im most expressive when i feel distraught,Fear
i have a feeling that the smell is not going to be pleasant,Joy
i have control issues though they really only kick badly when i feel unprotected or dont trust my safety net,Fear
i cant let all these feeling in one blink im not a heartless person like you i give you a lot of change i give you a lot of change to come and change your decisions i give you a lot of change to find me but you threw it like a crap,Anger
i feel so despised and i feel this world is crumbling onto me again,Anger
i feel bore and restless,Fear
i don t feel frustrated anymore from the fierce us media campaign against egypt because the more they attack us the more we know that we are on the right track,Anger
i need to manage my spending money more wisely but im feeling uncertain and stressed as of late,Fear
as in sadness a,Anger
i feel so uncomfortable about the word hero,Fear
i feel far too distracted to actually write anything of substance,Anger
i feel wonderful im tipping over backwards im so ambitious im looking back im running a race and youre the books i read so feel my fingers as they touch you arms im spinning around and i feel alright the book i read was in your eyes,Joy
i heard it somehow it brings me good feeling strange,Fear
i started explaining what my biggest problems were bottling up my feelings and then dumping all those problems onto one person and my selfish search for happiness when i had felt everyone around me had found their happiness,Anger
ive had a somewhat difficult time trying to find something to feel thankful for,Joy
i feel like people like this arent getting caught therefore the government plays it up when they catch criminals of petty crimes to make themselves look better,Anger
i call someone i feel like i need to at least talk a few minutes to not be rude,Anger
i think i m also feeling restless,Fear
i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful,Joy
i feel strange being thankful when such awful things on the other sides of the oceans that surround that country happen on a daily basis,Fear
i knew i needed to get over there but had been dragging my feet a combo of feeling intimidated by the language barrier and the kids nap schedules,Fear
im told by horsey people that they are a rare find so i feel quite lucky,Joy
i feel that as we study him we find that he was indeed a perfect example of what any christian and especially a latter day saint should be,Joy
i was feeling rebellious so i ate it,Anger
i feel uncertain about his motives and feel an inbalance in our committment to the process of counselling for reconciliation,Fear
i was still feeling weird about the day before,Fear
i feel like now i have the opportunity to become smart to embrace knowledge and really learn about everything i have daydreamed of learning,Joy
i feel useful again and serves as a reminder that ive come a long way since the first days of vertigo,Joy
i could feel the blood in my veins go cold,Anger
i started to feel super emotional all the time which was so strange,Joy
im feeling pretty rebellious right now because im writing this is my engineering class,Anger
i used to feel as if i would be hated and whatever so i kept quiet about god,Anger
i feel my life being threatened by illness i lose my mind,Fear
i was really hoping that theyd get far enough ahead of us that we could feel like we were doing our own navigating so i was delighted when after punching the second control they headed off onto a trail through the woods,Joy
i feel so frustrated but i cant tell them i am,Anger
i wanted to say something to her but it was just a bad vibe and i was feeling hostile didnt think it was a good night to do so,Anger
i feel the eyes of many turn away disgusted by the self indulgence the audacity of a british woman to admit this point of failure,Anger
i feel incredibly charmed that i have these people in my life and that i am at such an exciting amazing chapter of things,Joy
i feel jealous of everyone who has the chance to meet you everyday,Anger
i brought up privately a couple weeks ago that i felt targeted after feeling frustrated and belittled,Anger
i feel honoured that my clients walk through my doors sometimes for the very first time and trust me with their brand new one week old bundles of joy,Joy
im sure its a great film but i guess i wasnt feeling too appreciative and just had a long day,Joy
i feel suspicious of innanimate objects and as though my house is actually the set of a play or a movie or some kind of model of itself and how did i come to be here and why is that carpet looking up at me like that,Fear
i feel hesitant to be putting the words on this page feeling like every time i hit a key i am tempting fate to take this away from me,Fear
i watched the snow fall and accumulate on the conifer trees while i was shoveling in my shirt sleeves and feeling vigorous,Joy
i feel that it could have been a more successful outcome had i explored new styles but kept it close to me and remained myself,Joy
i feel glad i can still teach him at home myself,Joy
im feeling overwhelmed i can just give people the middle finger or tell them to f off,Fear
ive had a feeling of being satisfied with the performance of my car,Joy
i tend to lose feel for the water pretty quickly when im not in the water every other day and i felt this during the race,Joy
my flatmate was asking questions about my relationship with my boyfriend,Anger
i feel honoured that she has chosen to share this with me,Joy
i feel tat all of us in this world are clever just depending on how u are born if u are born to be errrr not good but it will still would have some good things that u have it just that u dun realise it lol i noe its quite lame hope no one have read it img src http shared,Joy
i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented,Anger
i feel highs so ecstatic that just being normal feels like a thousand mile drop and being unhappy is excruciating,Joy
i am feeling so festive right now and not just because this was the lovely wintry scene when i walked the dog the other day a href http,Joy
ive worked plenty of them and have yet to find one that leaves me feeling satisfied with the way ive spent another day that i will never get back,Joy
i don t know why i am feeling so sarcastic tonight but christian seems to enjoy my banter and every time seth apologizes for my behavior christian tells him it s quite alright and locks eyes with me,Anger
i find myself feeling agitated because of how what the kids are playing i ask myself did i play this way when i was little,Fear
im feeling so excited and eager,Joy
i don t have any issues with the obvious i went chinese with them yesterday and i wasn t feeling hostile towards any of them,Anger
i find that i never stop feeling excited for our company s future,Joy
i sat with dave atell at first trying not to feel rude while the guys were eating,Anger
im good at hiding my true feelings or blurting them out in sarcastic tones,Anger
ive been feeling really energetic at night and honestly i needed this,Joy
i can feel the beginnings of a cold so i figured i deserve a heinously hot bath,Anger
im inclined to believe that im simply too lazy to feel particularly greedy,Anger
i feel almost angry that i have been fed like a lab rat for so many years,Anger
i couldnt feel thing however that kind of bothered me because i didnt feel it pop,Anger
i feel insecure all the time,Fear
i said feeling strange uttering those words but space flight was still a pretty novel way of traveling in my time,Fear
i actually feel insulted when the plot goes off on a tangent like that,Anger
i arrived at the gym she was such a ball of sunshine and made me feel very welcomed at the gym although i felt like a dorky unfit rotund sloth that did not fit in with the environment of buffed fit looking and fierce looking bloke,Joy
i can feel his impatient and i can t stop my body from giving him positive response,Anger
i have had a lot of uncaring men in my life and it still feels strange to have several that call come by and reach out to me when i am at my weakest moments,Fear
i don t i risk feeling vulnerable the feeling that everyone is staring at me and examining every little dimple in my thigh and sag in my arm,Fear
i also feel extremely blessed to be marrying into such a loving family,Joy
i am your friend then why do i sometime feel so insulted around you,Anger
ive also discovered that because i feel less agitated by caffeine and cravings this coping method is unnecessary huge,Fear
i don t discuss even my feelings for beloved with anyone,Joy
i don t feel like i am dissatisfied because i don t have things i think i am dissatisfied because not much is changing in me and i still feel bad at times,Anger
i feel super glued to my bed,Joy
i must say that the initial splash was not too bad but after a few strokes you could feel the cold getting into your bones,Anger
i woke up today feeling pissed off,Anger
i went in there feeling a little hostile because it felt like they didnt really care about me,Anger
i just feel distressed i dont know why though but i do,Fear
ive been feeling so anxious and nauseous and tired but also so elated that some nights its all i can do to crawl into bed,Fear
i experience all my normal moods feel annoyed when my year old whines or my baby wants to be held while im making dinner but i no longer feel consumed by these emotions,Anger
i get the feeling that the rest of yall are a little appalled about it,Anger
i feel so hated and useless sometimes i even ask myself why havent i killed myself yet,Anger
i feel extremely insulted,Anger
i drove home i was aware of feeling not like myself and then she called to ask if i was ok,Joy
i have been conveniently uninformed of the specifics of the situation i am left feeling helpless and wanting more than ever to get away,Fear
i am feeling quite pleased with myself as this was something id never done before,Joy
i feel that this was their mistake and they are just being rude,Anger
ive played fps games and each time ive left feeling like it was an mentally emotionally dangerous thing to do that i had to switch off an important part of my brain just to play it,Anger
i feel if you re learning about your purpose and the workings of this universe and continue to evolve and transcend you will be productive and such along the journey,Joy
i continued on my way despite feeling a bit strange with my flexy new shoes and sweat soaked back,Fear
i do find myself feeling anxious seeing what everyone else is doing and feeling that i am not up to part with my peers and or i am stagnate,Fear
i cannot help but feel a bit anxious on how this delivery will go hopefully another vbac if all goes as planned,Fear
i have this feeling of security about the characters i want to do if someone else gets the role i am afraid they will not do well,Fear
i am if i go back to the hostel for a break i feel anxious to get back out and see more and more take it all in,Fear
